#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
44,Joe Show - جو شو @UCVlAsbQEG1yvoAYzt1TEo0Q,3.5M,0.90%,Egypt,,1M,WATCH IT,4750000,2766572552,16867
45,WATCH IT @UC9pd5VvcJETJaNGz9_K3Pow,3.4M,-,Egypt,,1M,cbc Sofra,3580000,1067473388,75506
46,cbc Sofra @UCCdCsHQRURiTXwDwwW6fx0w,3.4M,-,Egypt,,1M,Ahmed Saad,4950000,2459471000,183
47,Ahmed Saad @UCBzJgJllSsZunDTD1ekAciA,3.3M,-,Egypt,,978K,Lido,3140000,561723975,1278
48,Lido - ليدو @UCAxQKtYU44WSrOAsd0JseZA,3.2M,-,Egypt,,951K,muscle clinic - ماسل كلينك,3840000,235652418,1022
49,muscle clinic @UCsJRPfHLASyko7TKI2NXeCA,3.1M,-,Egypt,,942K,123 GO! SCHOOL Arabic,3560000,1460503535,689
50,123 GO! SCHOOL Arabic @UCYQ-pwbTVi466WviyADqE_A,3.1M,-,Egypt,,918K,عصام صاصا - Essam Saasa,4640000,1607481378,240
51,عصام صاصا - Essam Saasa @UCjrMuVOBkaC9mIhqsNtegmQ,3.1M,-,Egypt,,918K,فاطمة أبو حاتي - Fatma Abu Haty,3570000,481928407,1265
52,فاطمة أبو حاتي - Fatma Abu Haty @UCyUnkCOIbi-7MImxJcOu3Lg,3M,-,Misri,,909K,Omar Kamal,3260000,1166449875,510
53,Omar Kamal @UCnBLTjVEtEX4Ry7yqQaEYXg,2.9M,-,Misri,,873K,123 GO LIKE! Arabic,3490000,1736395097,1308
54,123 GO LIKE! Arabic @UCiUmR2kADYuk92dIJyYsg-A,2.9M,-,Misri,,867K,المسامح كريم,3330000,948739930,465
55,المسامح كريم @UCec_75mqcgupvxt7n4n_HjQ,2.9M,-,Misri,,861K,حياة المسلم Tv,2960000,6643851,257
56,قوة العقل @UCMLcJmgSyAhJIGk5M54lYqw,2.8M,-,Misri,,852K,TVision,3100000,2045751422,5521
57,TVision @UCIAeQiNoobuTYW2TlfomGsA,2.8M,-,Misri,,843K,CairokeeOfficial,3490000,1044835624,134
